INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,CONTROL,LATITUDE,LONGITUDE,MENONLY,WOMENONLY,ADM_RATE_ALL,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,AVGFACSAL,PCTPELL,RET_FT4,PCTFLOAN,AGE_ENTRY,FEMALE,MARRIED,VETERAN,FIRST_GEN,FAMINC,MD_FAMINC
Alabama A & M University,Normal,AL,35762,Southern Association of Colleges and Schools Commission on Colleges,www.aamu.edu/,1,34.783368,-86.568502,0,0,0.87377538,849,0,4616,0.0256,0.9129,0.0076,0.0019,0.0024,0.0017,0.0401,0.0065,0.0013,22667,NULL,9366,17496,NULL,7028,0.7039,0.5769,0.7667,20.28374137,0.564030132,0.009102323,0.003138732,0.365828092,32362.82611,23553
University of Alabama at Birmingham,Birmingham,AL,35294-0110,Southern Association of Colleges and Schools Commission on Colleges,www.uab.edu,1,33.505697,-86.799345,0,0,0.581351094,1125,0,12047,0.5786,0.2626,0.0309,0.0598,0.0028,0.0004,0.0387,0.0179,0.0083,22684,NULL,8040,18368,NULL,10517,0.3525,0.8161,0.5179,23.60797466,0.63909074,0.105086641,0.003167505,0.341223671,51306.67431,34489
Amridge University,Montgomery,AL,36117-3553,Southern Association of Colleges and Schools Commission on Colleges,www.amridgeuniversity.edu,2,32.362609,-86.17401,0,0,NULL,NULL,1,293,0.157,0.2355,0.0068,0,0,0.0034,0,0,0.5973,13380,NULL,7180,7180,NULL,3857,0.6971,0.0909,0.8436,33.6722973,0.648648649,0.236486487,0.040540541,0.5125,21079.47297,15033.5
University of Alabama in Huntsville,Huntsville,AL,35899,Southern Association of Colleges and Schools Commission on Colleges,www.uah.edu,1,34.724557,-86.640449,0,0,0.762816282,1257,0,6346,0.7148,0.1131,0.0411,0.0414,0.012,0,0.0181,0.0303,0.0292,22059,NULL,9842,20612,NULL,9463,0.2949,0.8255,0.4312,22.72791963,0.476349937,0.100460444,PrivacySuppressed,0.310132159,61096.58895,44787
Alabama State University,Montgomery,AL,36104-0271,Southern Association of Colleges and Schools Commission on Colleges,www.alasu.edu,1,32.364317,-86.295677,0,0,0.458963879,825,0,4704,0.0138,0.9337,0.0111,0.0028,0.0013,0.0004,0.0111,0.0159,0.01,19242,NULL,9220,16156,NULL,7952,0.7815,0.6262,0.8113,20.13099042,0.61341853,0.00798722,PrivacySuppressed,0.343434343,31684.38219,22080.5
The University of Alabama,Tuscaloosa,AL,35487-0166,Southern Association of Colleges and Schools Commission on Colleges,www.ua.edu/,1,33.211875,-87.545978,0,0,0.525851924,1202,0,31663,0.7841,0.1037,0.0437,0.0118,0.0036,0.0009,0.0297,0.0192,0.0033,28422,NULL,10470,26950,NULL,9802,0.1938,0.8627,0.4007,21.1377014,0.615252417,0.053705693,0.003974221,0.225712689,91846.74962,66733.5
Central Alabama Community College,Alexander City,AL,35010,Southern Association of Colleges and Schools Commission on Colleges,www.cacc.edu,1,32.92478,-85.945266,0,0,NULL,NULL,0,1492,0.6877,0.2802,0.0127,0.002,0.004,0.0007,0.0067,0.002,0.004,13868,NULL,4380,7890,NULL,5960,0.5109,NULL,0.3234,23.07102804,0.603738318,0.096261682,PrivacySuppressed,0.549676026,30767.76449,22217
Athens State University,Athens,AL,35611,Southern Association of Colleges and Schools Commission on Colleges,www.athens.edu,1,34.806793,-86.964698,0,0,NULL,NULL,0,2888,0.7784,0.125,0.0215,0.0076,0.0142,0.001,0.0187,0.001,0.0325,NULL,NULL,NULL,NULL,NULL,8367,0.4219,NULL,0.6455,30.38476563,0.705078125,0.361328125,PrivacySuppressed,0.477496484,38479.38737,29645.5
Auburn University at Montgomery,Montgomery,AL,36117-3596,Southern Association of Colleges and Schools Commission on Colleges,www.aum.edu,1,32.36736,-86.177544,0,0,0.765920826,1009,0,4171,0.5126,0.3627,0.0141,0.0247,0.006,0.001,0.0319,0.0412,0.0058,19255,NULL,9640,20710,NULL,7251,0.4405,0.6667,0.5565,22.19980411,0.69294809,0.072967679,0.00489716,0.38189609,41987.98629,29671.5
Auburn University,Auburn,AL,36849,Southern Association of Colleges and Schools Commission on Colleges,www.auburn.edu,1,32.599378,-85.488258,0,0,0.80543383,1217,0,22095,0.8285,0.0673,0.0335,0.0252,0.0052,0.0003,0.0128,0.0214,0.0059,29794,NULL,10696,28840,NULL,9945,0.1532,0.9101,0.328,20.51679587,0.531504671,0.022261976,0.002385212,0.172647119,92148.62652,72031
